Role by Indsutry,Data Collection,Data Cleaning,Data / Programming Language,Data Integration,Data Storage,Data Mining,Data Visualization,Data Analysis,Sum
Data Scientist: Gov/Education/Public ,1,1,1,1,1,1,1,1,8
Data Scientist: Retail/eCommerce,1,0,1,0,1,1,1,1,6
Data Scientist: Healthcare,1,1,1,1,1,1,1,1,8
Data Scientist: Banking/Insurance,1,1,1,1,1,1,1,1,8
Data Scientist: Manufacturing,1,0,1,0,1,1,0,0,4
Data Scientist: Scientific,1,0,1,0,1,1,0,0,4
Data Scientist: IT/Tech,1,1,1,1,1,1,1,1,8
Data Scientist: Fraud/Cyber Security,1,1,1,1,1,1,1,1,8
Data Analyst: Gov/Education/Public,1,1,0,1,0,1,0,1,5
Data Analyst: Retail/eCommerce,1,1,0,0,0,1,1,1,5
Data Analyst: Healthcare,1,1,0,1,0,1,1,1,6
Data Analyst: Manufacturing,1,0,0,0,0,1,0,0,2
Data Analyst: IT/Tech,1,1,0,1,0,1,1,1,6
Data Engineer/Data Architect: Banking/Insurance,0,1,1,1,1,0,0,1,5
Data Engineer/Data Architect: Fraud/Cyber Security,0,1,1,1,1,0,0,1,5
Data Engineer/Data Architect: IT/Tech,0,1,1,1,1,0,0,1,5
Data Engineer/Data Architect: Scientific,0,0,1,0,1,0,0,0,2
Data Engineer/Data Architect: Manufacturing,0,0,0,0,1,0,0,0,1
Data Engineer/Data Architect: Retail/eCommerce,0,1,1,0,1,0,0,1,4
Data & Analytics Mgr: Gov/Education/Public,1,1,0,1,1,1,0,1,6
Data & Analytics Mgr: Retail/eCommerce,1,1,0,0,1,1,1,1,6
Data & Analytics Mgr: Healthcare,1,1,0,1,1,1,1,1,7
Data & Analytics Mgr: Banking/Insurance,1,1,0,1,1,1,1,1,7
Data & Analytics Mgr: Manufacturing,1,0,0,0,1,1,0,0,3
Data & Analytics Mgr: Scientific,1,0,0,0,1,1,0,0,3
Data & Analytics Mgr: IT/Tech,1,1,0,1,1,1,1,1,7
Business Analyst:Gov/Education/Public Sector,1,0,0,0,0,0,0,1,2
Business Analyst:Retail/eCommerce,1,0,0,0,0,0,1,1,3
Business Analyst:Healthcare,1,0,0,0,0,0,1,1,3
Business Analyst:Banking/Insurance,1,0,0,0,0,0,1,1,3
Business Analyst:Manufacturing,1,0,0,0,0,0,0,0,1
Business Analyst:Scientific,0,0,0,0,0,0,0,1,1
Business Analyst:IT/Tech,1,0,0,0,0,0,1,1,3
Database Admin: Gov/Education/Public,0,1,0,1,1,1,0,0,4
Database Admin: Healthcare,0,1,0,1,1,1,0,0,4
Database Admin: Banking/Insurance,0,1,0,1,1,1,0,0,4
Database Admin: Fraud/Cyber Security,0,1,0,1,1,1,0,0,4
Database Admin: IT/Tech,0,1,0,1,1,1,0,0,4
